pair,side,entry_bar,exit_bar,entry_price,exit_price,stop_loss,take_profit,size_usd,pnl,pnl_pct,hold_bars,exit_reason
SOL/USDT,long,224,228,86.62,83.61,75.5776,108.7048,89.27,-3.1021,-0.034749,4,macd_reversal
SOL/USDT,long,229,237,84.77,84.2,75.5776,103.15479999999998,86.24,-0.5799,-0.006724,8,macd_reversal
SOL/USDT,long,230,237,82.94,84.2,75.5776,97.66479999999999,86.24,1.3101,0.015192,7,macd_reversal
SOL/USDT,long,242,250,87.4,89.61,80.85,100.50000000000003,86.53,2.188,0.025286,8,macd_reversal
SOL/USDT,long,243,250,89.76,89.61,80.85,107.58000000000003,86.53,-0.1446,-0.001671,7,macd_reversal
SOL/USDT,long,287,289,87.3,85.02,83.23140000000001,95.43719999999998,87.35,-2.2813,-0.026117,2,macd_reversal
SOL/USDT,long,289,295,85.02,89.7,85.02,88.59719999999997,86.44,4.7582,0.055046,6,take_profit
SOL/USDT,long,288,299,86.57,88.55,86.57,93.24719999999996,87.35,1.9978,0.022872,11,end_of_data
AVAX/USDT,short,77,84,9.936,8.313,9.936,8.691959999999998,80.0,13.0676,0.163345,7,take_profit
AVAX/USDT,short,76,88,9.726,9.035,9.726,8.061960000000001,80.0,5.6837,0.071047,12,macd_reversal
AVAX/USDT,short,105,107,8.781,9.117,9.481919999999999,7.379160000000004,87.5,-3.3481,-0.038264,2,macd_reversal
AVAX/USDT,short,106,115,9.001,8.87,9.481919999999999,8.03916,87.5,1.2735,0.014554,9,macd_reversal
AVAX/USDT,short,107,115,9.117,8.87,9.117,8.387160000000005,86.16,2.3343,0.027092,8,macd_reversal
AVAX/USDT,short,116,120,8.578,8.636,9.37278,6.988439999999997,87.6,-0.5923,-0.006761,4,macd_reversal
AVAX/USDT,short,117,120,8.585,8.636,9.37278,7.0094400000000014,87.6,-0.5204,-0.005941,3,macd_reversal
AVAX/USDT,short,183,197,9.007,8.349,9.007,7.740959999999999,87.16,6.3674,0.073054,14,macd_reversal
AVAX/USDT,long,224,230,9.216,8.936,8.2614,11.125199999999998,89.71,-2.7256,-0.030382,6,macd_reversal
AVAX/USDT,long,232,237,9.311,9.017,8.6681,10.596799999999998,88.62,-2.7982,-0.031576,5,macd_reversal
AVAX/USDT,long,233,237,9.239,9.017,8.6681,10.3808,88.62,-2.1294,-0.024029,4,macd_reversal
AVAX/USDT,long,240,249,9.179,9.454,9.179,10.159640000000001,86.64,2.5957,0.02996,9,macd_reversal
AVAX/USDT,long,241,249,9.174,9.454,9.174,10.144639999999999,86.64,2.6443,0.030521,8,macd_reversal
AVAX/USDT,long,287,299,9.704,9.758,9.286480000000001,10.53904,88.74,0.4938,0.005565,12,macd_reversal
AVAX/USDT,long,288,299,9.553,9.758,9.553,10.08604,88.74,1.9043,0.021459,11,macd_reversal
